نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اخزا9012,اسنادخزانه-م1بودجه99-010621,3,101,94624260,940770,935000,939010,-1760,-0.19,936870,-3900,-0.41,935000,940740
ضشنا8011,اختيارخ شپنا-4350-1401/08/29,3,8,18232000,1850,2279,2279,429,23.19,2279,429,23.19,2279,2279
اخزا9042,اسنادخزانه-م4بودجه99-011215,3,132,112533920,853890,852600,852500,-1390,-0.16,852530,-1360,-0.16,852500,852600
كگهر2,سنگ آهن گهرزمين,3,13966623,701431150000,49900,49900,50500,600,1.2,50222,322,0.65,49900,50500
اخزا905,اسنادخزانه-م5بودجه99-020218,3,400,337763000,826500,828000,849880,23380,2.83,844410,17910,2.17,828000,849880
شتهران,داروسازي تهران شيمي,3,3946,164745500,40950,41750,41750,800,1.95,41750,800,1.95,41750,41750
اراد87,مرابحه عام دولت87-ش.خ030304,3,4500,4273000000,950000,958000,958000,8000,0.84,949560,-440,-0.05,920000,958000
اخزا907,اسنادخزانه-م7بودجه99-020704,3,15900,12179980000,764850,766000,768900,4050,0.53,766040,1190,0.16,766000,768900
كهربا2,صندوق س.پشتوانه سكه طلا كهربا,3,1100000,1100000,12402,1,1,-12401,-99.99,1,-12401,-99.99,1,1
تملي703,تسهيلات مسكن ب. ملي-خرداد97,3,19,11695144,594487,618010,594487,0,0,615534,21047,3.54,594487,618010
اخزا0082,اسنادخزانه-م8بودجه00-030919,3,219,129144940,590530,589820,589810,-720,-0.12,589700,-830,-0.14,589520,589820
اخزا904,اسنادخزانه-م4بودجه99-011215,3,300,257420000,853890,855210,859990,6100,0.71,858070,4180,0.49,855210,859990
اخزا8152,اسنادخزانه-م15بودجه98-010406,3,27,26479090,980570,979090,981000,430,0.04,980710,140,0.01,979090,981000
وغدير2,سرمايه‌گذاري‌غدير(هلدينگ‌,3,47538960,705951997600,14620,15000,14810,190,1.3,14850,230,1.57,14810,15000
مشهد212,مشاركت ش مشهد212-3ماهه18%,2,100,97433550,983747,936671,985000,1253,0.13,974335,-9412,-0.96,963671,985000
